,Origin text,Text after filling,Term frequency,Raw text,Primary organizations
100,http://www.springermedizin.de,http://www.springermedizin.de,15712,{},NaN
101,"Soochow University(Soochow University,Suzhou University),Suzhou,China","Soochow University(Soochow University,Suzhou University),Suzhou,China",15658,"{'primary organization': [{'text': 'soochow university', 'start': 0, 'end': 18, 'probability': 0.9896960063999103}, {'text': 'soochow university', 'start': 19, 'end': 37, 'probability': 0.8322171032449219}, {'text': 'suzhou university', 'start': 38, 'end': 55, 'probability': 0.8957085579646353}], 'secondary organization': [{'text': 'soochow university', 'start': 0, 'end': 18, 'probability': 0.9541464305504732}, {'text': 'soochow university', 'start': 19, 'end': 37, 'probability': 0.49779134438593076}, {'text': 'suzhou university', 'start': 38, 'end': 55, 'probability': 0.7281352033429975}], 'tertiary organization': [{'text': 'soochow university', 'start': 0, 'end': 18, 'probability': 0.9938188177814595}, {'text': 'soochow university', 'start': 19, 'end': 37, 'probability': 0.8797422450510233}, {'text': 'suzhou university', 'start': 38, 'end': 55, 'probability': 0.9613948049448027}], 'city': [{'text': 'suzhou', 'start': 57, 'end': 63, 'probability': 0.9923540898880105}], 'country': [{'text': 'china', 'start': 64, 'end': 69, 'probability': 0.9999831915500579}]}",soochow university
102,university of brasilia,universityersity of brasilia,15644,"{'primary organization': [{'text': 'university of brasilia', 'start': 0, 'end': 22, 'probability': 0.9978286182753777}], 'secondary organization': [{'text': 'university of brasilia', 'start': 0, 'end': 22, 'probability': 0.99110639262463}], 'tertiary organization': [{'text': 'university of brasilia', 'start': 0, 'end': 22, 'probability': 0.9964989595331986}], 'city': [{'text': 'brasilia', 'start': 14, 'end': 22, 'probability': 0.9001917337634069}], 'country': [{'text': 'brasilia', 'start': 14, 'end': 22, 'probability': 0.9903940831558202}]}",university of brasilia
103,federal university of paraiba,federal universityersity of paraiba,15636,"{'primary organization': [{'text': 'federal university of paraiba', 'start': 0, 'end': 29, 'probability': 0.9414800609645049}], 'secondary organization': [{'text': 'federal university of paraiba', 'start': 0, 'end': 29, 'probability': 0.9074551462101468}], 'tertiary organization': [{'text': 'federal university of paraiba', 'start': 0, 'end': 29, 'probability': 0.9379470135014039}], 'city': [{'text': 'paraiba', 'start': 22, 'end': 29, 'probability': 0.9995609785443378}], 'country': [{'text': 'paraiba', 'start': 22, 'end': 29, 'probability': 0.9120009973334895}]}",federal university of paraiba
104,Author to whom correspondence should be addressed.,Author to whom correspondence should be addressed.,15443,{},NaN
105,"Univ N Carolina, Chapel Hill, NC 27515 USA","Univ N Carolina, Chapel Hill, NC 27515 USA",15429,"{'primary organization': [{'text': 'univ n carolina', 'start': 0, 'end': 15, 'probability': 0.9728880488770031}], 'secondary organization': [{'text': 'univ n carolina', 'start': 0, 'end': 15, 'probability': 0.9622104189065794}], 'tertiary organization': [{'text': 'univ n carolina', 'start': 0, 'end': 15, 'probability': 0.9756298305519131}], 'city': [{'text': 'chapel hill', 'start': 17, 'end': 28, 'probability': 0.9997446606092808}], 'postal code': [{'text': '27515', 'start': 33, 'end': 38, 'probability': 0.7373837405656865}], 'country': [{'text': 'usa', 'start': 39, 'end': 42, 'probability': 0.9996749951537893}]}",univ n carolina
106,federal university of ceara,federal universityersity of ceara,15413,"{'primary organization': [{'text': 'federal university of ceara', 'start': 0, 'end': 27, 'probability': 0.9819123358660597}], 'secondary organization': [{'text': 'federal university of ceara', 'start': 0, 'end': 27, 'probability': 0.9565436227079758}], 'tertiary organization': [{'text': 'federal university of ceara', 'start': 0, 'end': 27, 'probability': 0.9824998229260515}], 'city': [{'text': 'ceara', 'start': 22, 'end': 27, 'probability': 0.9838613890189443}], 'country': [{'text': 'ceara', 'start': 22, 'end': 27, 'probability': 0.9208867116196231}]}",federal university of ceara
107,"Univ Sao Paulo, Sao Paulo, Brazil","Univ Sao Paulo, Sao Paulo, Brazil",15131,"{'primary organization': [{'text': 'univ sao paulo', 'start': 0, 'end': 14, 'probability': 0.9996507958393721}], 'secondary organization': [{'text': 'univ sao paulo', 'start': 0, 'end': 14, 'probability': 0.9952665324710921}], 'tertiary organization': [{'text': 'univ sao paulo', 'start': 0, 'end': 14, 'probability': 0.9995086123476042}], 'city': [{'text': 'sao paulo', 'start': 16, 'end': 25, 'probability': 0.999000073924563}], 'country': [{'text': 'brazil', 'start': 27, 'end': 33, 'probability': 0.9999748469477652}]}",univ sao paulo
108,universite catholique de louvain,universityersite catholique de louvain,15123,"{'primary organization': [{'text': 'universite catholique de louvain', 'start': 0, 'end': 32, 'probability': 0.9994213107556504}], 'secondary organization': [{'text': 'universite catholique de louvain', 'start': 0, 'end': 32, 'probability': 0.9981737962737185}], 'tertiary organization': [{'text': 'universite catholique de louvain', 'start': 0, 'end': 32, 'probability': 0.9991448584806619}], 'city': [{'text': 'louvain', 'start': 25, 'end': 32, 'probability': 0.8780854717348063}], 'country': [{'text': 'louvain', 'start': 25, 'end': 32, 'probability': 0.4067670152482279}]}",universite catholique de louvain
109,"Univ Calif Los Angeles, David Geffen Sch Med, Los Angeles, CA 90095 USA","Univ Calif Los Angeles, David Geffen Sch Med, Los Angeles, CA 90095 USA",14838,"{'primary organization': [{'text': 'univ calif', 'start': 0, 'end': 10, 'probability': 0.9157859122448286}], 'secondary organization': [{'text': 'univ calif', 'start': 0, 'end': 10, 'probability': 0.8719398304016295}], 'tertiary organization': [{'text': 'univ calif', 'start': 0, 'end': 10, 'probability': 0.9782689796955069}], 'city': [{'text': 'los angeles', 'start': 46, 'end': 57, 'probability': 0.9980583449181069}], 'postal code': [{'text': '90095', 'start': 62, 'end': 67, 'probability': 0.9992838372434107}], 'country': [{'text': 'usa', 'start': 68, 'end': 71, 'probability': 0.9998503366185219}]}",univ calif
110,"Med Univ Vienna, Vienna, Austria","Med Univ Vienna, Vienna, Austria",14632,"{'primary organization': [{'text': 'univ', 'start': 4, 'end': 8, 'probability': 0.9996144545470997}], 'secondary organization': [{'text': 'univ', 'start': 4, 'end': 8, 'probability': 0.9633631103545781}], 'tertiary organization': [{'text': 'univ', 'start': 4, 'end': 8, 'probability': 0.997290098362285}], 'city': [{'text': 'vienna', 'start': 17, 'end': 23, 'probability': 0.9982635842948611}, {'text': 'vienna', 'start': 9, 'end': 15, 'probability': 0.8809041538150666}], 'country': [{'text': 'austria', 'start': 25, 'end': 32, 'probability': 0.9999738932461639}]}",univ
111,"Changchun Institute of Optics Fine Mechanics and Physics Chinese Academy of Sciences(Chinese Academy of Sciences),Changchun,China","Changchun Institute of Optics Fine Mechanics and Physics Chinese Academy of Sciences(Chinese Academy of Sciences),Changchun,China",14466,"{'primary organization': [{'text': 'chinese academy of sciences', 'start': 85, 'end': 112, 'probability': 0.5687707996005713}, {'text': 'chinese academy of sciences', 'start': 57, 'end': 84, 'probability': 0.9131240439216626}, {'text': 'changchun institute of optics', 'start': 0, 'end': 29, 'probability': 0.8934873942190258}], 'secondary organization': [{'text': 'chinese academy of sciences', 'start': 57, 'end': 84, 'probability': 0.6280617151623886}, {'text': 'changchun institute of optics', 'start': 0, 'end': 29, 'probability': 0.8829383319790907}], 'tertiary organization': [{'text': 'chinese academy of sciences', 'start': 85, 'end': 112, 'probability': 0.45433082644834855}, {'text': 'chinese academy of sciences', 'start': 57, 'end': 84, 'probability': 0.8983263560133814}, {'text': 'changchun institute of optics', 'start': 0, 'end': 29, 'probability': 0.9060263111812716}], 'city': [{'text': 'changchun', 'start': 114, 'end': 123, 'probability': 0.99930707294968}], 'country': [{'text': 'china', 'start': 124, 'end': 129, 'probability': 0.9999691845151162}]}",chinese academy of sciences
112,"Beijing University of Chemical Technology(Beijing University of Chemical Technology,Beijing Univ. of Chemical Technology),Beijing,China","Beijing University of Chemical Technology(Beijing University of Chemical Technology,Beijing Univ. of Chemical Technology),Beijing,China",13705,"{'primary organization': [{'text': 'beijing university of chemical technology', 'start': 0, 'end': 41, 'probability': 0.785019460120381}, {'text': 'beijing university of chemical technology', 'start': 42, 'end': 83, 'probability': 0.3981099805041701}], 'secondary organization': [{'text': 'beijing university of chemical technology', 'start': 0, 'end': 41, 'probability': 0.5957691017519977}, {'text': 'univ. of chemical technology', 'start': 92, 'end': 120, 'probability': 0.30736071472504634}, {'text': 'university of chemical technology', 'start': 50, 'end': 83, 'probability': 0.386800871899851}], 'tertiary organization': [{'text': 'beijing university of chemical technology', 'start': 0, 'end': 41, 'probability': 0.7231921741144305}, {'text': 'univ. of chemical technology', 'start': 92, 'end': 120, 'probability': 0.6931016107082826}], 'city': [{'text': 'beijing', 'start': 0, 'end': 7, 'probability': 0.7900115517404203}, {'text': 'beijing', 'start': 84, 'end': 91, 'probability': 0.9954898861249148}, {'text': 'beijing', 'start': 122, 'end': 129, 'probability': 0.9991183429810846}, {'text': 'beijing', 'start': 42, 'end': 49, 'probability': 0.9811804281049277}], 'country': [{'text': 'china', 'start': 130, 'end': 135, 'probability': 0.9999765754618934}]}",beijing university of chemical technology
113,"Brookhaven Natl Lab, Upton, NY 11973 USA","Brookhaven Natl Lab, Upton, NY 11973 USA",13621,"{'primary organization': [{'text': 'brookhaven natl lab', 'start': 0, 'end': 19, 'probability': 0.658155770312078}], 'tertiary organization': [{'text': 'brookhaven natl lab', 'start': 0, 'end': 19, 'probability': 0.45987558678517004}], 'city': [{'text': 'upton', 'start': 21, 'end': 26, 'probability': 0.9999639394896391}], 'postal code': [{'text': '11973', 'start': 31, 'end': 36, 'probability': 0.9492283729171547}], 'country': [{'text': 'usa', 'start': 37, 'end': 40, 'probability': 0.9999434952311645}]}",brookhaven natl lab
114,"Hohai University(Hohai University,Hohai Univ.),Nanjing,China","Hohai University(Hohai University,Hohai Univ.),Nanjing,China",13611,"{'primary organization': [{'text': 'hohai univ.', 'start': 34, 'end': 45, 'probability': 0.5187993947115572}, {'text': 'hohai university', 'start': 0, 'end': 16, 'probability': 0.9057779352307165}, {'text': 'hohai university', 'start': 17, 'end': 33, 'probability': 0.5797537214859574}], 'secondary organization': [{'text': 'hohai university', 'start': 0, 'end': 16, 'probability': 0.661380195980712}, {'text': 'hohai university', 'start': 17, 'end': 33, 'probability': 0.40878035229068743}], 'tertiary organization': [{'text': 'hohai univ.', 'start': 34, 'end': 45, 'probability': 0.6823151283995799}, {'text': 'hohai university', 'start': 0, 'end': 16, 'probability': 0.9268290407334625}, {'text': 'hohai university', 'start': 17, 'end': 33, 'probability': 0.7939346584851137}], 'city': [{'text': 'nanjing', 'start': 47, 'end': 54, 'probability': 0.999079451220318}, {'text': 'hohai', 'start': 34, 'end': 39, 'probability': 0.4358247704910809}], 'country': [{'text': 'china', 'start': 55, 'end': 60, 'probability': 0.9999791384723835}]}",hohai university
115,"Ctr Dis Control & Prevent, Atlanta, GA USA","Ctr Dis Control & Prevent, Atlanta, GA USA",13554,"{'primary organization': [{'text': 'ctr dis control & prevent', 'start': 0, 'end': 25, 'probability': 0.9473863647055936}], 'secondary organization': [{'text': 'ctr dis control & prevent', 'start': 0, 'end': 25, 'probability': 0.6695069515503462}], 'city': [{'text': 'atlanta', 'start': 27, 'end': 34, 'probability': 0.9999766947165867}], 'country': [{'text': 'usa', 'start': 39, 'end': 42, 'probability': 0.9999436144875062}]}",ctr dis control & prevent
116,"Chinese Acad Sci, Inst Phys, Beijing Natl Lab Condensed Matter Phys, Beijing 100190, Peoples R China","Chinese Acad Sci, Inst Phys, Beijing Natl Lab Condensed Matter Phys, Beijing 100190, Peoples R China",13503,"{'tertiary organization': [{'text': 'condensed matter phys', 'start': 46, 'end': 67, 'probability': 0.3084705724634773}], 'city': [{'text': 'beijing', 'start': 69, 'end': 76, 'probability': 0.9997355511068164}, {'text': 'beijing', 'start': 29, 'end': 36, 'probability': 0.9993348025386872}], 'postal code': [{'text': '100190', 'start': 77, 'end': 83, 'probability': 0.978350410335949}], 'country': [{'text': 'china', 'start': 95, 'end': 100, 'probability': 0.9999803305232717}]}",NaN
117,"Beijing University of Aeronautics and Astronautics(Beijing University of Aeronautics and Astronautics,Beijing Univ. of Aero. and Astron.),Beijing,China","Beijing University of Aeronautics and Astronautics(Beijing University of Aeronautics and Astronautics,Beijing Univ. of Aero. and Astron.),Beijing,China",13310,"{'primary organization': [{'text': 'beijing university of aeronautics and astronautics', 'start': 51, 'end': 101, 'probability': 0.6553037226687053}, {'text': 'beijing univ. of aero. and astron.', 'start': 102, 'end': 136, 'probability': 0.3158094217794911}, {'text': 'beijing university of aeronautics and astronautics', 'start': 0, 'end': 50, 'probability': 0.5818966560417849}], 'tertiary organization': [{'text': 'beijing university of aeronautics and astronautics', 'start': 51, 'end': 101, 'probability': 0.6544080251211781}, {'text': 'beijing univ. of aero. and astron.', 'start': 102, 'end': 136, 'probability': 0.569444885322369}, {'text': 'beijing university of aeronautics and astronautics', 'start': 0, 'end': 50, 'probability': 0.6398752763101783}], 'city': [{'text': 'beijing', 'start': 102, 'end': 109, 'probability': 0.9833916458768499}, {'text': 'beijing', 'start': 0, 'end': 7, 'probability': 0.9329571723005756}, {'text': 'beijing', 'start': 51, 'end': 58, 'probability': 0.9605377074278962}, {'text': 'beijing', 'start': 138, 'end': 145, 'probability': 0.9989148828496468}], 'country': [{'text': 'china', 'start': 146, 'end': 151, 'probability': 0.9999750257520148}]}",beijing university of aeronautics and astronautics
118,"Hefei University of Technology(Hefei University of Technology),Hefei,China","Hefei University of Technology(Hefei University of Technology),Hefei,China",13195,"{'primary organization': [{'text': 'hefei university of technology', 'start': 31, 'end': 61, 'probability': 0.9314708724334153}, {'text': 'hefei university of technology', 'start': 0, 'end': 30, 'probability': 0.9984010830518315}], 'secondary organization': [{'text': 'hefei university of technology', 'start': 31, 'end': 61, 'probability': 0.8302891430628918}, {'text': 'hefei university of technology', 'start': 0, 'end': 30, 'probability': 0.9955785913403901}], 'tertiary organization': [{'text': 'hefei university of technology', 'start': 31, 'end': 61, 'probability': 0.9418812277176869}, {'text': 'hefei university of technology', 'start': 0, 'end': 30, 'probability': 0.9987774886535732}], 'city': [{'text': 'hefei', 'start': 63, 'end': 68, 'probability': 0.9989934565392105}], 'country': [{'text': 'china', 'start': 69, 'end': 74, 'probability': 0.9999833703701526}]}",hefei university of technology
119,"Univ London Imperial Coll Sci Technol & Med, London, England","Univ London Imperial Coll Sci Technol & Med, London, England",13089,"{'primary organization': [{'text': 'univ london imperial coll sci technol & med', 'start': 0, 'end': 43, 'probability': 0.988015850043098}], 'secondary organization': [{'text': 'univ london imperial coll sci technol & med', 'start': 0, 'end': 43, 'probability': 0.9521524459493058}], 'tertiary organization': [{'text': 'univ london imperial coll sci technol & med', 'start': 0, 'end': 43, 'probability': 0.9758774757963096}], 'city': [{'text': 'london', 'start': 45, 'end': 51, 'probability': 0.9997800088404603}, {'text': 'london', 'start': 5, 'end': 11, 'probability': 0.9728139653382186}], 'country': [{'text': 'england', 'start': 53, 'end': 60, 'probability': 0.9999761582404254}]}",univ london imperial coll sci technol & med
120,"Beth Israel Deaconess Med Ctr, Boston, MA 02215 USA","Beth Israel Deaconess Med Ctr, Boston, MA 02215 USA",12940,"{'city': [{'text': 'boston', 'start': 31, 'end': 37, 'probability': 0.9999887943581705}], 'postal code': [{'text': '02215', 'start': 42, 'end': 47, 'probability': 0.9905103281968408}], 'country': [{'text': 'usa', 'start': 48, 'end': 51, 'probability': 0.9929573016847861}]}",NaN
121,"China Agricultural University(China Agricultural University),Beijing,China","China Agricultural University(China Agricultural University),Beijing,China",12929,"{'primary organization': [{'text': 'china agricultural university', 'start': 0, 'end': 29, 'probability': 0.9923200471866238}, {'text': 'china agricultural university', 'start': 30, 'end': 59, 'probability': 0.956038925060426}], 'secondary organization': [{'text': 'china agricultural university', 'start': 0, 'end': 29, 'probability': 0.9766942235875042}, {'text': 'china agricultural university', 'start': 30, 'end': 59, 'probability': 0.9307763177461226}], 'tertiary organization': [{'text': 'china agricultural university', 'start': 0, 'end': 29, 'probability': 0.9885555889762259}, {'text': 'china agricultural university', 'start': 30, 'end': 59, 'probability': 0.9837598536683458}], 'city': [{'text': 'beijing', 'start': 61, 'end': 68, 'probability': 0.9999539856982089}], 'country': [{'text': 'china', 'start': 30, 'end': 35, 'probability': 0.9990718453486807}, {'text': 'china', 'start': 0, 'end': 5, 'probability': 0.9990353123630058}, {'text': 'china', 'start': 69, 'end': 74, 'probability': 0.9998040247247353}]}",china agricultural university
122,university of tubingen,universityersity of tubingen,12914,"{'primary organization': [{'text': 'university of tubingen', 'start': 0, 'end': 22, 'probability': 0.9951515696285504}], 'secondary organization': [{'text': 'university of tubingen', 'start': 0, 'end': 22, 'probability': 0.9779864621066103}], 'tertiary organization': [{'text': 'university of tubingen', 'start': 0, 'end': 22, 'probability': 0.9896354331254393}], 'city': [{'text': 'tubingen', 'start': 14, 'end': 22, 'probability': 0.9986334358695288}]}",university of tubingen
123,"Harvard Smithsonian Ctr Astrophys, Cambridge, MA 02138 USA","Harvard Smithsonian Ctr Astrophys, Cambridge, MA 02138 USA",12763,"{'city': [{'text': 'cambridge', 'start': 35, 'end': 44, 'probability': 0.9999685885986196}], 'country': [{'text': 'usa', 'start': 55, 'end': 58, 'probability': 0.9998360330198253}]}",NaN
124,"Chinese Academy of Medical Sciences(Chinese Academy of Medical Sciences),Beijing,China","Chinese Academy of Medical Sciences(Chinese Academy of Medical Sciences),Beijing,China",12745,"{'primary organization': [{'text': 'chinese academy of medical sciences', 'start': 0, 'end': 35, 'probability': 0.9691763312141468}, {'text': 'chinese academy of medical sciences', 'start': 36, 'end': 71, 'probability': 0.5475918434238736}], 'secondary organization': [{'text': 'chinese academy of medical sciences', 'start': 0, 'end': 35, 'probability': 0.9344776181208125}, {'text': 'chinese academy of medical sciences', 'start': 36, 'end': 71, 'probability': 0.4815901496941777}], 'tertiary organization': [{'text': 'chinese academy of medical sciences', 'start': 0, 'end': 35, 'probability': 0.9691403307559341}, {'text': 'chinese academy of medical sciences', 'start': 36, 'end': 71, 'probability': 0.7363088492628407}], 'city': [{'text': 'beijing', 'start': 73, 'end': 80, 'probability': 0.999970317068005}], 'country': [{'text': 'china', 'start': 81, 'end': 86, 'probability': 0.9999813438047411}]}",chinese academy of medical sciences
125,"Nanyang Technol Univ, Sch Elect & Elect Engn, Singapore 639798, Singapore","Nanyang Technol Univ, Sch Elect & Elect Engn, Singapore 639798, Singapore",12675,"{'primary organization': [{'text': 'nanyang technol univ', 'start': 0, 'end': 20, 'probability': 0.8165671110030814}], 'secondary organization': [{'text': 'nanyang technol univ', 'start': 0, 'end': 20, 'probability': 0.8235393503892539}], 'tertiary organization': [{'text': 'nanyang technol univ', 'start': 0, 'end': 20, 'probability': 0.8602448849358098}], 'city': [{'text': 'nanyang', 'start': 0, 'end': 7, 'probability': 0.9928888836378924}]}",nanyang technol univ
126,"European Org Nucl Res CERN, Geneva, Switzerland","European Org Nucl Res CERN, Geneva, Switzerland",12663,"{'primary organization': [{'text': 'nucl res cern', 'start': 13, 'end': 26, 'probability': 0.9933003461996499}], 'secondary organization': [{'text': 'nucl res cern', 'start': 13, 'end': 26, 'probability': 0.9909612310550528}], 'tertiary organization': [{'text': 'nucl res cern', 'start': 13, 'end': 26, 'probability': 0.9906899305063881}], 'city': [{'text': 'geneva', 'start': 28, 'end': 34, 'probability': 0.9999675157070413}], 'country': [{'text': 'switzerland', 'start': 36, 'end': 47, 'probability': 0.9999432567328768}]}",nucl res cern
127,"Yanshan University(Yanshan University),Qinhuangdao,China","Yanshan University(Yanshan University),Qinhuangdao,China",12651,"{'primary organization': [{'text': 'yanshan university', 'start': 0, 'end': 18, 'probability': 0.997106190803887}, {'text': 'yanshan university', 'start': 19, 'end': 37, 'probability': 0.9947023878256189}], 'secondary organization': [{'text': 'yanshan university', 'start': 0, 'end': 18, 'probability': 0.9828542379645739}, {'text': 'yanshan university', 'start': 19, 'end': 37, 'probability': 0.9918307860490714}], 'tertiary organization': [{'text': 'yanshan university', 'start': 0, 'end': 18, 'probability': 0.9977927096516055}, {'text': 'yanshan university', 'start': 19, 'end': 37, 'probability': 0.9975451980653105}], 'city': [{'text': 'qinhuangdao', 'start': 39, 'end': 50, 'probability': 0.999687992765466}], 'country': [{'text': 'china', 'start': 51, 'end': 56, 'probability': 0.9999802709441781}]}",yanshan university
128,dresden university of technology,dresden universityersity of technology,12568,"{'primary organization': [{'text': 'dresden university of technology', 'start': 0, 'end': 32, 'probability': 0.9481624781635389}], 'secondary organization': [{'text': 'dresden university of technology', 'start': 0, 'end': 32, 'probability': 0.894237094558946}], 'tertiary organization': [{'text': 'dresden university of technology', 'start': 0, 'end': 32, 'probability': 0.909113066248068}], 'city': [{'text': 'dresden', 'start': 0, 'end': 7, 'probability': 0.9943334913050776}]}",dresden university of technology
129,"Univ Fed Sao Paulo, Sao Paulo, Brazil","Univ Fed Sao Paulo, Sao Paulo, Brazil",12463,"{'primary organization': [{'text': 'univ fed sao paulo', 'start': 0, 'end': 18, 'probability': 0.6197338698291261}], 'secondary organization': [{'text': 'univ fed sao paulo', 'start': 0, 'end': 18, 'probability': 0.7169849576938816}], 'tertiary organization': [{'text': 'univ fed sao paulo', 'start': 0, 'end': 18, 'probability': 0.8150892843388249}], 'city': [{'text': 'sao paulo', 'start': 20, 'end': 29, 'probability': 0.996780922848167}], 'country': [{'text': 'brazil', 'start': 31, 'end': 37, 'probability': 0.9999749065520831}]}",univ fed sao paulo
130,"Lanzhou University(Lanzhou University),Lanzhou,China","Lanzhou University(Lanzhou University),Lanzhou,China",12435,"{'primary organization': [{'text': 'lanzhou university', 'start': 0, 'end': 18, 'probability': 0.991396599046027}, {'text': 'lanzhou university', 'start': 19, 'end': 37, 'probability': 0.9864648324418823}], 'secondary organization': [{'text': 'lanzhou university', 'start': 0, 'end': 18, 'probability': 0.8980256179796662}, {'text': 'lanzhou university', 'start': 19, 'end': 37, 'probability': 0.9609347608499164}], 'tertiary organization': [{'text': 'lanzhou university', 'start': 0, 'end': 18, 'probability': 0.9895204800318567}, {'text': 'lanzhou university', 'start': 19, 'end': 37, 'probability': 0.9905051446661872}], 'city': [{'text': 'lanzhou', 'start': 39, 'end': 46, 'probability': 0.9544446802730704}, {'text': 'lanzhou', 'start': 19, 'end': 26, 'probability': 0.5982801791669417}], 'country': [{'text': 'china', 'start': 47, 'end': 52, 'probability': 0.999980449751547}]}",lanzhou university
131,"Weill Cornell Med Coll, New York, NY USA","Weill Cornell Med Coll, New York, NY USA",12423,"{'primary organization': [{'text': 'weill cornell med coll', 'start': 0, 'end': 22, 'probability': 0.718975577577396}], 'secondary organization': [{'text': 'weill cornell med coll', 'start': 0, 'end': 22, 'probability': 0.4342315999316213}], 'tertiary organization': [{'text': 'weill cornell med coll', 'start': 0, 'end': 22, 'probability': 0.8621965329855286}], 'city': [{'text': 'new york', 'start': 24, 'end': 32, 'probability': 0.9972656911063744}], 'country': [{'text': 'usa', 'start': 37, 'end': 40, 'probability': 0.9999133356021055}]}",weill cornell med coll
132,ecole polytechnique,ecole polytechnique,12409,"{'primary organization': [{'text': 'ecole polytechnique', 'start': 0, 'end': 19, 'probability': 0.9951886403989718}], 'secondary organization': [{'text': 'ecole polytechnique', 'start': 0, 'end': 19, 'probability': 0.9518521691556003}], 'tertiary organization': [{'text': 'ecole polytechnique', 'start': 0, 'end': 19, 'probability': 0.9875124886216433}]}",ecole polytechnique
133,university of nebraska lincoln,universityersity of nebraska lincoln,12340,"{'primary organization': [{'text': 'university of nebraska lincoln', 'start': 0, 'end': 30, 'probability': 0.9472337558890196}], 'secondary organization': [{'text': 'university of nebraska lincoln', 'start': 0, 'end': 30, 'probability': 0.7123696498382515}], 'tertiary organization': [{'text': 'university of nebraska lincoln', 'start': 0, 'end': 30, 'probability': 0.8788397585386143}], 'city': [{'text': 'lincoln', 'start': 23, 'end': 30, 'probability': 0.977169746202982}]}",university of nebraska lincoln
134,universite libre de bruxelles,universityersite libre de bruxelles,12200,"{'primary organization': [{'text': 'universite libre de bruxelles', 'start': 0, 'end': 29, 'probability': 0.9996129648931067}], 'secondary organization': [{'text': 'universite libre de bruxelles', 'start': 0, 'end': 29, 'probability': 0.9965919976310147}], 'tertiary organization': [{'text': 'universite libre de bruxelles', 'start': 0, 'end': 29, 'probability': 0.9993813862773919}], 'city': [{'text': 'bruxelles', 'start': 20, 'end': 29, 'probability': 0.7660563411935328}]}",universite libre de bruxelles
135,"Harvard Med Sch, Boston, MA 02115 USA","Harvard Med Sch, Boston, MA 02115 USA",12114,"{'tertiary organization': [{'text': 'harvard med', 'start': 0, 'end': 11, 'probability': 0.5641902819202045}], 'city': [{'text': 'boston', 'start': 17, 'end': 23, 'probability': 0.9999880791052895}], 'country': [{'text': 'usa', 'start': 34, 'end': 37, 'probability': 0.9998921179427782}]}",NaN
136,university of paris sud,universityersity of paris sud,12030,"{'primary organization': [{'text': 'university of paris sud', 'start': 0, 'end': 23, 'probability': 0.9939664887488178}], 'secondary organization': [{'text': 'university of paris sud', 'start': 0, 'end': 23, 'probability': 0.9883600937737924}], 'tertiary organization': [{'text': 'university of paris sud', 'start': 0, 'end': 23, 'probability': 0.9959116567279125}], 'city': [{'text': 'paris', 'start': 14, 'end': 19, 'probability': 0.9931769698354884}]}",university of paris sud
137,"Nanjing University of Technology(Nanjing University of Technology),Nanjing,China","Nanjing University of Technology(Nanjing University of Technology),Nanjing,China",11993,"{'primary organization': [{'text': 'nanjing university of technology', 'start': 0, 'end': 32, 'probability': 0.9142738215183215}, {'text': 'nanjing university of technology', 'start': 33, 'end': 65, 'probability': 0.586349192409358}], 'secondary organization': [{'text': 'nanjing university of technology', 'start': 0, 'end': 32, 'probability': 0.8730561127437397}, {'text': 'nanjing university of technology', 'start': 33, 'end': 65, 'probability': 0.6497207823661029}], 'tertiary organization': [{'text': 'nanjing university of technology', 'start': 0, 'end': 32, 'probability': 0.924212429961166}, {'text': 'nanjing university of technology', 'start': 33, 'end': 65, 'probability': 0.7559698461773152}], 'city': [{'text': 'nanjing', 'start': 0, 'end': 7, 'probability': 0.9593897696726543}, {'text': 'nanjing', 'start': 33, 'end': 40, 'probability': 0.9848841183242385}, {'text': 'nanjing', 'start': 67, 'end': 74, 'probability': 0.9991707540809713}], 'country': [{'text': 'china', 'start': 75, 'end': 80, 'probability': 0.9999754430050523}]}",nanjing university of technology
138,Dept,Dept,11866,{},NaN
139,king s college london,king s college london,11712,"{'primary organization': [{'text': 'king s college london', 'start': 0, 'end': 21, 'probability': 0.9830414939371792}], 'secondary organization': [{'text': 'king s college london', 'start': 0, 'end': 21, 'probability': 0.9589503276693137}], 'tertiary organization': [{'text': 'king s college london', 'start': 0, 'end': 21, 'probability': 0.9690269628833796}], 'city': [{'text': 'london', 'start': 15, 'end': 21, 'probability': 0.9999455217596314}], 'country': [{'text': 'london', 'start': 15, 'end': 21, 'probability': 0.2836076295593557}]}",king s college london
140,"Cincinnati Childrens Hosp Med Ctr, Cincinnati, OH 45229 USA","Cincinnati Childrens Hosp Med Ctr, Cincinnati, OH 45229 USA",11704,"{'primary organization': [{'text': 'childrens hosp med ctr', 'start': 11, 'end': 33, 'probability': 0.392635906582683}], 'secondary organization': [{'text': 'cincinnati childrens hosp med ctr', 'start': 0, 'end': 33, 'probability': 0.3736848959310919}], 'tertiary organization': [{'text': 'cincinnati childrens hosp med ctr', 'start': 0, 'end': 33, 'probability': 0.3920191753271922}], 'city': [{'text': 'cincinnati', 'start': 0, 'end': 10, 'probability': 0.9402436386394015}, {'text': 'cincinnati', 'start': 35, 'end': 45, 'probability': 0.9996194458182828}], 'postal code': [{'text': '45229', 'start': 50, 'end': 55, 'probability': 0.9999346147309254}], 'country': [{'text': 'usa', 'start': 56, 'end': 59, 'probability': 0.9997126002199366}]}",childrens hosp med ctr
