,Origin Organizations,Cleaned,Filled,Term Frequency,Primary Organization
256,to whom correspondence should be addressed,to whom correspondence should be addressed,to whom correspondence should be addressed,7692,NaN
257,"chinese academy of agricultural sciences(chinese academy of agricultural sciences),beijing,china","chinese academy of agricultural sciences(chinese academy of agricultural sciences),beijing,china","chinese academy of agricultural sciences(chinese academy of agricultural sciences),beijing,china",7673,chinese academy of agricultural sciences
258,",et al.",",et al.",",et al.",7611,NaN
259,"lawrence livermore national laboratory, livermore, ca 94551 usa","lawrence livermore natl lab, livermore, ca 94551 usa","lawrence livermore national laboratory, livermore, ca 94551 usa",7596,lawrence livermore national laboratory
260,"air force engineering university china(air force engineering university),xi'an,china","air force engineering university china(air force engineering university),xi'an,china","air force engineering university china(air force engineering university),xi'an,china",7577,air force engineering university
261,"henry ford health syst, detroit, mi usa","henry ford hlth syst, detroit, mi usa","henry ford health syst, detroit, mi usa",7568,henry ford health syst
262,merck co,merck co,merck co,7560,merck co
263,"ministry of education china(ministry of education),beijing,china","ministry of education china(ministry of education),beijing,china","ministry of education china(ministry of education),beijing,china",7554,ministry of education
264,"harbin university of science and technology(harbin university of science and technology ^),harbin,china","harbin university of science and technology(harbin university of science and technology ^),harbin,china","harbin university of science and technology(harbin university of science and technology ^),harbin,china",7523,harbin university of science and technology
265,"physikalisches institut, university of bonn, bonn, germany.","physikalisches institut, university of bonn, bonn, germany.","physikalisches institut, university of bonn, bonn, germany.",7517,physikalisches institut
266,"seoul national university, seoul, south korea","seoul natl univ, seoul, south korea","seoul national university, seoul, south korea",7494,seoul national university
267,ben gurion university of the negev,ben gurion university of the negev,ben gurion university of the negev,7491,ben gurion university of the negev
268,moscow,moscow,moscow,7486,moscow
269,"dalian institute of chemical physics chinese academy of sciences(chinese academy of sciences),dalian,china","dalian institute of chemical physics chinese academy of sciences(chinese academy of sciences),dalian,china","dalian institute of chemical physics chinese academy of sciences(chinese academy of sciences),dalian,china",7481,dalian institute of chemical physics
270,"ningbo university(ningbo university),ningbo,china","ningbo university(ningbo university),ningbo,china","ningbo university(ningbo university),ningbo,china",7451,ningbo university
271,"university calif los angeles, los angeles, ca 90095 usa","univ calif los angeles, los angeles, ca 90095 usa","university calif los angeles, los angeles, ca 90095 usa",7451,university calif
272,"east china normal university(east china normal university),shanghai,china","east china normal university(east china normal university),shanghai,china","east china normal university(east china normal university),shanghai,china",7436,east china normal university
273,"nanjing medical university(nanjing medical university),nanjing,china","nanjing medical university(nanjing medical university),nanjing,china","nanjing medical university(nanjing medical university),nanjing,china",7413,nanjing medical university
274,"university sciences and technology beijing, sch materials sciences and engineering, beijing 100083, peoples r china","univ sci & technol beijing, sch mat sci & engn, beijing 100083, peoples r china","university sciences and technology beijing, sch materials sciences and engineering, beijing 100083, peoples r china",7380,university sciences and technology
275,"beijing university posts and telecommunications, state key laboratory informat photon and opt commun, beijing 100876, peoples r china","beijing univ posts & telecommun, state key lab informat photon & opt commun, beijing 100876, peoples r china","beijing university posts and telecommunications, state key laboratory informat photon and opt commun, beijing 100876, peoples r china",7368,informat photon and opt commun
276,universidade federal do espirito santo,universidade federal do espirito santo,universidade federal do espirito santo,7301,universidade federal do espirito santo
277,"southern medical university(^ southern medical university),tonghe,china","southern medical university(^ southern medical university),tonghe,china","southern medical university(^ southern medical university),tonghe,china",7267,southern medical university
278,"university calif los angeles, department physics and astron, los angeles, ca 90095 usa","univ calif los angeles, dept phys & astron, los angeles, ca 90095 usa","university calif los angeles, department physics and astron, los angeles, ca 90095 usa",7260,department physics and astron
279,"university n carolina, department chemical, chapel hill, nc 27599 usa","univ n carolina, dept chem, chapel hill, nc 27599 usa","university n carolina, department chemical, chapel hill, nc 27599 usa",7258,department chemical
280,"penn state university, department chemical, university pk, pa 16802 usa","penn state univ, dept chem, university pk, pa 16802 usa","penn state university, department chemical, university pk, pa 16802 usa",7239,penn state university
281,"johns hopkins university hospital, baltimore, md 21287 usa","johns hopkins univ hosp, baltimore, md 21287 usa","johns hopkins university hospital, baltimore, md 21287 usa",7237,johns hopkins university hospital
282,air force research laboratory,air force research laboratory,air force research laboratory,7220,air force research laboratory
283,"third military medical university(third military medical university),chongqing,china","third military medical university(third military medical university),chongqing,china","third military medical university(third military medical university),chongqing,china",7203,third military medical university
284,"university roma la sapienza, rome, italy","univ roma la sapienza, rome, italy","university roma la sapienza, rome, italy",7182,university roma
285,"xi'an university of architecture and technology(xi'an university of architecture and technology,xi'an univ. of arch. and tech.),xi an,china","xi'an university of architecture and technology(xi'an university of architecture and technology,xi'an univ. of arch. and tech.),xi an,china","xi'an university of architecture and technology(xi'an university of architecture and technology,xi'an univ. of arch. and tech.),xi an,china",7138,xi'an university of architecture and technology
286,"institute of chemistry chinese academy of sciences(chinese academy of sciences,institute of chemistry),beijing,china","institute of chemistry chinese academy of sciences(chinese academy of sciences,institute of chemistry),beijing,china","institute of chemistry chinese academy of sciences(chinese academy of sciences,institute of chemistry),beijing,china",7124,institute of chemistry
287,"university wisconsin, department chemical, madison, wi 53706 usa","univ wisconsin, dept chem, madison, wi 53706 usa","university wisconsin, department chemical, madison, wi 53706 usa",7120,university wisconsin
288,"deutsches elektronen-synchrotron,hamburg,germany","deutsches elektronen-synchrotron,hamburg,germany","deutsches elektronen-synchrotron,hamburg,germany",7105,deutsches elektronen-synchrotron
289,"harbin medical university(harbin medical university),harbin,china","harbin medical university(harbin medical university),harbin,china","harbin medical university(harbin medical university),harbin,china",7046,harbin medical university
290,"shenyang university of technology(shenyang university of technology),shenyang,china","shenyang university of technology(shenyang university of technology),shenyang,china","shenyang university of technology(shenyang university of technology),shenyang,china",7018,shenyang university of technology
291,brigham and women s hospital,brigham and women s hospital,brigham and women s hospital,6969,brigham and women s hospital
292,"university calif santa barbara, department physics, santa barbara, ca 93106 usa","univ calif santa barbara, dept phys, santa barbara, ca 93106 usa","university calif santa barbara, department physics, santa barbara, ca 93106 usa",6960,NaN
293,"argonne national laboratory, argonne, il 60439 usa","argonne natl lab, argonne, il 60439 usa","argonne national laboratory, argonne, il 60439 usa",6956,argonne national laboratory
294,"sandia national labs, pob 5800, albuquerque, nm 87185 usa","sandia natl labs, pob 5800, albuquerque, nm 87185 usa","sandia national labs, pob 5800, albuquerque, nm 87185 usa",6949,sandia national labs
295,"shanghai institute of ceramics chinese academy of sciences(chinese academy of sciences),shanghai,china","shanghai institute of ceramics chinese academy of sciences(chinese academy of sciences),shanghai,china","shanghai institute of ceramics chinese academy of sciences(chinese academy of sciences),shanghai,china",6938,shanghai institute of ceramics
296,www.bsl.nl,www.bsl.nl,www.bsl.nl,6935,www.bsl.nl
297,"roswell pk canc institute, buffalo, ny 14263 usa","roswell pk canc inst, buffalo, ny 14263 usa","roswell pk canc institute, buffalo, ny 14263 usa",6907,roswell pk canc institute
298,"chinese academy sciences, institute plasma physics, hefei 230031, peoples r china","chinese acad sci, inst plasma phys, hefei 230031, peoples r china","chinese academy sciences, institute plasma physics, hefei 230031, peoples r china",6905,chinese academy sciences
299,"university s carolina, columbia, sc 29208 usa","univ s carolina, columbia, sc 29208 usa","university s carolina, columbia, sc 29208 usa",6901,university s carolina
300,"huazhong agricultural university(huazhong agricultural university),wuhan,china","huazhong agricultural university(huazhong agricultural university),wuhan,china","huazhong agricultural university(huazhong agricultural university),wuhan,china",6892,huazhong agricultural university
301,"china earthquake administration(^ china earthquake administration),beijing,china","china earthquake administration(^ china earthquake administration),beijing,china","china earthquake administration(^ china earthquake administration),beijing,china",6882,china earthquake administration
302,"katholieke university leuven, leuven, belgium","katholieke univ leuven, leuven, belgium","katholieke university leuven, leuven, belgium",6868,katholieke university leuven
303,university of concepcion,university of concepcion,university of concepcion,6864,university of concepcion
304,"university health network, toronto, on, canada","univ hlth network, toronto, on, canada","university health network, toronto, on, canada",6862,university health network
305,"xiangya hospital of central-south university(xiangya hospital,central south university),changsha,china","xiangya hospital of central-south university(xiangya hospital,central south university),changsha,china","xiangya hospital of central-south university(xiangya hospital,central south university),changsha,china",6852,NaN
306,"johns hopkins sch medicine, baltimore, md usa","johns hopkins sch med, baltimore, md usa","johns hopkins sch medicine, baltimore, md usa",6821,johns hopkins sch medicine
307,"st louis university, st louis, mo 63103 usa","st louis univ, st louis, mo 63103 usa","st louis university, st louis, mo 63103 usa",6818,st louis university
308,"lanzhou university of technology(lanzhou university of technology),lanzhou,china","lanzhou university of technology(lanzhou university of technology),lanzhou,china","lanzhou university of technology(lanzhou university of technology),lanzhou,china",6808,lanzhou university of technology
309,"hospital valle de hebron, stroke unit, barcelona, spain","hosp valle de hebron, stroke unit, barcelona, spain","hospital valle de hebron, stroke unit, barcelona, spain",6787,NaN
310,"changchun institute of applied chemistry chinese academy of sciences(chinese academy of sciences),shanghai,china","changchun institute of applied chemistry chinese academy of sciences(chinese academy of sciences),shanghai,china","changchun institute of applied chemistry chinese academy of sciences(chinese academy of sciences),shanghai,china",6785,changchun institute of applied chemistry
311,"texas stroke institute, dallas, tx usa","texas stroke inst, dallas, tx usa","texas stroke institute, dallas, tx usa",6774,texas stroke institute
312,"hannover medicine sch, hannover, germany","hannover med sch, hannover, germany","hannover medicine sch, hannover, germany",6773,hannover medicine sch
313,"university hospital cleveland, cleveland, oh usa","univ hosp cleveland, cleveland, oh usa","university hospital cleveland, cleveland, oh usa",6756,NaN
314,"hop gui de chauliac, department neuroradiol, montpellier, france","hop gui de chauliac, dept neuroradiol, montpellier, france","hop gui de chauliac, department neuroradiol, montpellier, france",6748,neuroradiol
315,"ohiohealth riverside methodist hospital, columbus, oh usa","ohiohealth riverside methodist hosp, columbus, oh usa","ohiohealth riverside methodist hospital, columbus, oh usa",6748,NaN
316,"valley baptist medicine center, department neurosci, harlingen, tx usa","valley baptist med ctr, dept neurosci, harlingen, tx usa","valley baptist medicine center, department neurosci, harlingen, tx usa",6745,valley baptist medicine center
317,"johns hopkins bloomberg sch publ health, baltimore, md usa","johns hopkins bloomberg sch publ hlth, baltimore, md usa","johns hopkins bloomberg sch publ health, baltimore, md usa",6725,NaN
318,"chinese academy sciences, shanghai institute apply physics, shanghai 201800, peoples r china","chinese acad sci, shanghai inst appl phys, shanghai 201800, peoples r china","chinese academy sciences, shanghai institute apply physics, shanghai 201800, peoples r china",6702,shanghai institute apply physics
319,"ist nazl fis nucl, laboratory nazl frascati, i-00044 frascati, italy","ist nazl fis nucl, lab nazl frascati, i-00044 frascati, italy","ist nazl fis nucl, laboratory nazl frascati, i-00044 frascati, italy",6698,nazl fis nucl
320,"huazhong university sciences and technology, wuhan national laboratory optoelect, wuhan 430074, peoples r china","huazhong univ sci & technol, wuhan natl lab optoelect, wuhan 430074, peoples r china","huazhong university sciences and technology, wuhan national laboratory optoelect, wuhan 430074, peoples r china",6693,huazhong university sciences and technology
321,"university texas health sciences center houston, houston, tx 77030 usa","univ texas hlth sci ctr houston, houston, tx 77030 usa","university texas health sciences center houston, houston, tx 77030 usa",6671,NaN
322,"university of wisconsin - madison,madison,u.s.a.","university of wisconsin - madison,madison,u.s.a.","university of wisconsin - madison,madison,u.s.a.",6664,university of wisconsin - madison
323,"university s florida, tampa, fl 33620 usa","univ s florida, tampa, fl 33620 usa","university s florida, tampa, fl 33620 usa",6656,university s florida
324,"university so calif, los angeles, ca usa","univ so calif, los angeles, ca usa","university so calif, los angeles, ca usa",6646,NaN
325,"guangxi university(guangxi university),nanning,china","guangxi university(guangxi university),nanning,china","guangxi university(guangxi university),nanning,china",6619,guangxi university
326,"university s florida, tampa, fl usa","univ s florida, tampa, fl usa","university s florida, tampa, fl usa",6585,university s florida
327,"hebei medical university(hebei medical university),shijiazhuang,china","hebei medical university(hebei medical university),shijiazhuang,china","hebei medical university(hebei medical university),shijiazhuang,china",6542,hebei medical university
328,"cleveland clinic fdn, 9500 euclid ave, cleveland, oh 44195 usa","cleveland clin fdn, 9500 euclid ave, cleveland, oh 44195 usa","cleveland clinic fdn, 9500 euclid ave, cleveland, oh 44195 usa",6541,cleveland clinic fdn
329,"university calif san diego, scripps institute oceanog, la jolla, ca 92093 usa","univ calif san diego, scripps inst oceanog, la jolla, ca 92093 usa","university calif san diego, scripps institute oceanog, la jolla, ca 92093 usa",6515,scripps institute
330,"south china agricultural university(south china agricultural university),guangzhou,china","south china agricultural university(south china agricultural university),guangzhou,china","south china agricultural university(south china agricultural university),guangzhou,china",6485,south china agricultural university
331,"university penn, department chemical, philadelphia, pa 19104 usa","univ penn, dept chem, philadelphia, pa 19104 usa","university penn, department chemical, philadelphia, pa 19104 usa",6458,"university penn, department chemical"
332,"kings college hospital london, london, england","kings coll hosp london, london, england","kings college hospital london, london, england",6456,kings college hospital
333,"university calif santa barbara, department elect and comp engineering, santa barbara, ca 93106 usa","univ calif santa barbara, dept elect & comp engn, santa barbara, ca 93106 usa","university calif santa barbara, department elect and comp engineering, santa barbara, ca 93106 usa",6441,department elect and comp engineering
334,"south china normal university(south china normal university),guangzhou,china","south china normal university(south china normal university),guangzhou,china","south china normal university(south china normal university),guangzhou,china",6437,south china normal university
335,"n carolina state university, raleigh, nc 27695 usa","n carolina state univ, raleigh, nc 27695 usa","n carolina state university, raleigh, nc 27695 usa",6429,n carolina state university
336,"university calif santa barbara, department materials, santa barbara, ca 93106 usa","univ calif santa barbara, dept mat, santa barbara, ca 93106 usa","university calif santa barbara, department materials, santa barbara, ca 93106 usa",6423,department materials
337,"beijing forestry university(beijing forestry university),beijing,china","beijing forestry university(beijing forestry university),beijing,china","beijing forestry university(beijing forestry university),beijing,china",6419,beijing forestry university
338,"university calif berkeley, department elect engineering and comp sciences, berkeley, ca 94720 usa","univ calif berkeley, dept elect engn & comp sci, berkeley, ca 94720 usa","university calif berkeley, department elect engineering and comp sciences, berkeley, ca 94720 usa",6411,department elect engineering and comp sciences
339,"university estadual campinas, campinas, sp, brazil","univ estadual campinas, campinas, sp, brazil","university estadual campinas, campinas, sp, brazil",6397,NaN
340,"jiangnan university(jiangnan university),wuxi,china","jiangnan university(jiangnan university),wuxi,china","jiangnan university(jiangnan university),wuxi,china",6378,jiangnan university
341,"nanjing normal university(nanjing normal university),nanjing,china","nanjing normal university(nanjing normal university),nanjing,china","nanjing normal university(nanjing normal university),nanjing,china",6377,nanjing normal university
342,"vrije university amsterdam, amsterdam, netherlands","vrije univ amsterdam, amsterdam, netherlands","vrije university amsterdam, amsterdam, netherlands",6373,vrije university
343,www.zorgenfinanciering.nl,www.zorgenfinanciering.nl,www.zorgenfinanciering.nl,6359,www.zorgenfinanciering.nl
344,"southwest china normal university(southwest university,southwest china normal university,southwest normal university),chongqing,china","southwest china normal university(southwest university,southwest china normal university,southwest normal university),chongqing,china","southwest china normal university(southwest university,southwest china normal university,southwest normal university),chongqing,china",6349,southwest china normal university
345,"university calif riverside, department chemical, riverside, ca 92521 usa","univ calif riverside, dept chem, riverside, ca 92521 usa","university calif riverside, department chemical, riverside, ca 92521 usa",6347,NaN
346,"hospital clinic san carlos, madrid, spain","hosp clin san carlos, madrid, spain","hospital clinic san carlos, madrid, spain",6319,hospital clinic san carlos
347,heriot watt university,heriot watt university,heriot watt university,6285,heriot watt university
348,"georgia institute technology, sch chemical and biochem, atlanta, ga 30332 usa","georgia inst technol, sch chem & biochem, atlanta, ga 30332 usa","georgia institute technology, sch chemical and biochem, atlanta, ga 30332 usa",6278,georgia institute technology
349,wien,wien,wien,6272,wien
350,"huazhong normal university(central china normal university,huazhong normal university),wuhan,china","huazhong normal university(central china normal university,huazhong normal university),wuhan,china","huazhong normal university(central china normal university,huazhong normal university),wuhan,china",6256,huazhong normal university
351,"vrije university amsterdam medicine center, amsterdam, netherlands","vrije univ amsterdam med ctr, amsterdam, netherlands","vrije university amsterdam medicine center, amsterdam, netherlands",6255,vrije university
352,"university fed rio de janeiro, rio de janeiro, brazil","univ fed rio de janeiro, rio de janeiro, brazil","university fed rio de janeiro, rio de janeiro, brazil",6225,university fed
353,"institut für physik, universität mainz, mainz, germany.","institut für physik, universität mainz, mainz, germany.","institut für physik, universität mainz, mainz, germany.",6216,universität mainz
354,"yunnan university(yunnan university),kunming,china","yunnan university(yunnan university),kunming,china","yunnan university(yunnan university),kunming,china",6208,yunnan university
355,"university central florida, orlando, fl 32816 usa","univ cent florida, orlando, fl 32816 usa","university central florida, orlando, fl 32816 usa",6201,university central florida
356,"yangzhou university(yangzhou university),yangzhou,china","yangzhou university(yangzhou university),yangzhou,china","yangzhou university(yangzhou university),yangzhou,china",6198,yangzhou university
357,"fred hutchinson canc research center, seattle, wa 98104 usa","fred hutchinson canc res ctr, seattle, wa 98104 usa","fred hutchinson canc research center, seattle, wa 98104 usa",6198,NaN
358,"new york medicine college, valhalla, ny 10595 usa","new york med coll, valhalla, ny 10595 usa","new york medicine college, valhalla, ny 10595 usa",6135,new york medicine college
359,"hospital sick children, toronto, on, canada","hosp sick children, toronto, on, canada","hospital sick children, toronto, on, canada",6126,hospital sick children
360,"bell tel labs inc,murray hill,nj 07974","bell tel labs inc,murray hill,nj 07974","bell tel labs inc,murray hill,nj 07974",6100,bell tel labs inc
361,washington university in st louis,washington university in st louis,washington university in st louis,6099,washington university
362,"london sch hyg and trop medicine, london, england","london sch hyg & trop med, london, england","london sch hyg and trop medicine, london, england",6099,trop medicine
363,"nanjing university of post and telecommunications(nanjing university of posts and telecommunications),nanjing,china","nanjing university of post and telecommunications(nanjing university of posts and telecommunications),nanjing,china","nanjing university of post and telecommunications(nanjing university of posts and telecommunications),nanjing,china",6090,nanjing university of post and telecommunications
364,"china iron and steel research institute group(central iron and steel research institute,ctrl. iron and stl. res. institute),beijing,china","china iron and steel research institute group(central iron and steel research institute,ctrl. iron and stl. res. institute),beijing,china","china iron and steel research institute group(central iron and steel research institute,ctrl. iron and stl. res. institute),beijing,china",6063,central iron and steel research institute
365,"pontificia university catolica chile, santiago, chile","pontificia univ catolica chile, santiago, chile","pontificia university catolica chile, santiago, chile",6060,NaN
366,"chinese academy sciences, changchun institute apply chemical, state key laboratory rare earth resource utilizat, changchun 130022, peoples r china","chinese acad sci, changchun inst appl chem, state key lab rare earth resource utilizat, changchun 130022, peoples r china","chinese academy sciences, changchun institute apply chemical, state key laboratory rare earth resource utilizat, changchun 130022, peoples r china",6034,chinese academy sciences
367,dresden university of technology,dresden university of technology,dresden university of technology,6017,dresden university of technology
368,"northeast normal university(northeast normal university),changchun,china","northeast normal university(northeast normal university),changchun,china","northeast normal university(northeast normal university),changchun,china",6009,northeast normal university
369,"north university of china(north university of china),taiyuan,china","north university of china(north university of china),taiyuan,china","north university of china(north university of china),taiyuan,china",6004,north university of china
370,"university calif santa barbara, department chemical and biochem, santa barbara, ca 93106 usa","univ calif santa barbara, dept chem & biochem, santa barbara, ca 93106 usa","university calif santa barbara, department chemical and biochem, santa barbara, ca 93106 usa",6001,department chemical and biochem
371,universite du quebec a montreal,universite du quebec a montreal,universite du quebec a montreal,5999,universite du quebec a montreal
372,"fakultät für mathematik und physik, albert-ludwigs-universität, freiburg, germany.","fakultät für mathematik und physik, albert-ludwigs-universität, freiburg, germany.","fakultät für mathematik und physik, albert-ludwigs-universität, freiburg, germany.",5995,"fakultät für mathematik und physik, albert-ludwigs-universität"
373,"max planck institute astron, d-69117 heidelberg, germany","max planck inst astron, d-69117 heidelberg, germany","max planck institute astron, d-69117 heidelberg, germany",5992,max planck institute
374,"lawrence berkeley national laboratory, berkeley, ca 94720 usa","lawrence berkeley natl lab, berkeley, ca 94720 usa","lawrence berkeley national laboratory, berkeley, ca 94720 usa",5963,lawrence berkeley national laboratory
375,"university calif berkeley, lawrence berkeley laboratory, berkeley, ca 94720 usa","univ calif berkeley, lawrence berkeley lab, berkeley, ca 94720 usa","university calif berkeley, lawrence berkeley laboratory, berkeley, ca 94720 usa",5952,NaN
376,"the fourth military medical university(fourth military medical university,the fourth military medical university),xi'an,china","the fourth military medical university(fourth military medical university,the fourth military medical university),xi'an,china","the fourth military medical university(fourth military medical university,the fourth military medical university),xi'an,china",5943,the fourth military medical university
377,"guangdong university of technology(guangdong university of technology),guangzhou,china","guangdong university of technology(guangdong university of technology),guangzhou,china","guangdong university of technology(guangdong university of technology),guangzhou,china",5918,guangdong university of technology
378,"school of electrical and electronic engineering, nanyang technological university, singapore","school of electrical and electronic engineering, nanyang technological university, singapore","school of electrical and electronic engineering, nanyang technological university, singapore",5917,school of electrical and electronic engineering
379,"northeast forestry university(northeast forestry university),harbin,china","northeast forestry university(northeast forestry university),harbin,china","northeast forestry university(northeast forestry university),harbin,china",5903,northeast forestry university
380,"duke clinic research institute, durham, nc usa","duke clin res inst, durham, nc usa","duke clinic research institute, durham, nc usa",5834,duke clinic research institute
381,"penn state university, department materials sciences and engineering, university pk, pa 16802 usa","penn state univ, dept mat sci & engn, university pk, pa 16802 usa","penn state university, department materials sciences and engineering, university pk, pa 16802 usa",5828,penn state university
382,universidad autonoma metropolitana,universidad autonoma metropolitana,universidad autonoma metropolitana,5827,universidad autonoma metropolitana
383,"guys and st thomas nhs fdn trust, london, england","guys & st thomas nhs fdn trust, london, england","guys and st thomas nhs fdn trust, london, england",5794,fdn trust
384,"hangzhou dianzi university(hangzhou dianzi university,hangzhou university),hangzhou,china","hangzhou dianzi university(hangzhou dianzi university,hangzhou university),hangzhou,china","hangzhou dianzi university(hangzhou dianzi university,hangzhou university),hangzhou,china",5775,hangzhou dianzi university
385,both authors contributed equally to this work.,both authors contributed equally to this work.,both authors contributed equally to this work.,5754,NaN
386,"space telescope sciences institute, baltimore, md 21218 usa","space telescope sci inst, baltimore, md 21218 usa","space telescope sciences institute, baltimore, md 21218 usa",5748,space telescope sciences institute
387,"florida int university, miami, fl 33199 usa","florida int univ, miami, fl 33199 usa","florida int university, miami, fl 33199 usa",5748,florida int university
388,"harvard medicine sch, boston, ma usa","harvard med sch, boston, ma usa","harvard medicine sch, boston, ma usa",5744,harvard medicine
389,"chinese academy sciences, institute semicond, state key laboratory integrated optoelect, beijing 100083, peoples r china","chinese acad sci, inst semicond, state key lab integrated optoelect, beijing 100083, peoples r china","chinese academy sciences, institute semicond, state key laboratory integrated optoelect, beijing 100083, peoples r china",5744,chinese academy sciences
390,"stanford linear accelerator center(stanford university,stanford linear accelerator center),menlo park,united states","stanford linear accelerator center(stanford university,stanford linear accelerator center),menlo park,united states","stanford linear accelerator center(stanford university,stanford linear accelerator center),menlo park,united states",5740,stanford linear accelerator center
391,"national university singapore, department chemical, singapore 117543, singapore","natl univ singapore, dept chem, singapore 117543, singapore","national university singapore, department chemical, singapore 117543, singapore",5736,national university
392,"university calif san diego, department medicine, la jolla, ca 92093 usa","univ calif san diego, dept med, la jolla, ca 92093 usa","university calif san diego, department medicine, la jolla, ca 92093 usa",5729,NaN
393,"bucharest university econ studies, bucharest, romania","bucharest univ econ studies, bucharest, romania","bucharest university econ studies, bucharest, romania",5723,bucharest university
394,"budker institute nucl physics, novosibirsk 630090, russia","budker inst nucl phys, novosibirsk 630090, russia","budker institute nucl physics, novosibirsk 630090, russia",5706,budker institute nucl physics
395,"fox chase canc center, philadelphia, pa 19111 usa","fox chase canc ctr, philadelphia, pa 19111 usa","fox chase canc center, philadelphia, pa 19111 usa",5698,NaN
396,"moscow mv lomonosov state university, moscow, russia","moscow mv lomonosov state univ, moscow, russia","moscow mv lomonosov state university, moscow, russia",5695,moscow mv lomonosov state university
397,"university calif berkeley, space sciences laboratory, berkeley, ca 94720 usa","univ calif berkeley, space sci lab, berkeley, ca 94720 usa","university calif berkeley, space sciences laboratory, berkeley, ca 94720 usa",5682,NaN
398,"national institute materials sciences, tsukuba, ibaraki 3050047, japan","natl inst mat sci, tsukuba, ibaraki 3050047, japan","national institute materials sciences, tsukuba, ibaraki 3050047, japan",5667,national institute materials sciences
399,"kazan fed university, kazan, russia","kazan fed univ, kazan, russia","kazan fed university, kazan, russia",5638,kazan fed university
400,"st jude childrens research hospital, 332 n lauderdale st, memphis, tn 38105 usa","st jude childrens res hosp, 332 n lauderdale st, memphis, tn 38105 usa","st jude childrens research hospital, 332 n lauderdale st, memphis, tn 38105 usa",5637,st jude childrens research hospital
401,"broad institute mit and harvard, cambridge, ma 02142 usa","broad inst mit & harvard, cambridge, ma 02142 usa","broad institute mit and harvard, cambridge, ma 02142 usa",5636,broad institute
402,"henan university(henan university),kaifeng,china","henan university(henan university),kaifeng,china","henan university(henan university),kaifeng,china",5628,henan university
403,"university fed santa catarina, florianopolis, sc, brazil","univ fed santa catarina, florianopolis, sc, brazil","university fed santa catarina, florianopolis, sc, brazil",5628,university fed santa catarina
404,"anhui medical university(anhui medical university),hefei,china","anhui medical university(anhui medical university),hefei,china","anhui medical university(anhui medical university),hefei,china",5609,anhui medical university
405,"chinese academy sciences, beijing national laboratory condensed matter physics, beijing 100190, peoples r china","chinese acad sci, beijing natl lab condensed matter phys, beijing 100190, peoples r china","chinese academy sciences, beijing national laboratory condensed matter physics, beijing 100190, peoples r china",5609,chinese academy sciences
406,"new york, ny","new york, ny","new york, ny",5605,NaN
407,"beijing institute technology, sch materials sciences and engineering, beijing 100081, peoples r china","beijing inst technol, sch mat sci & engn, beijing 100081, peoples r china","beijing institute technology, sch materials sciences and engineering, beijing 100081, peoples r china",5592,beijing institute technology
408,"medicine university south carolina, charleston, sc 29425 usa","med univ south carolina, charleston, sc 29425 usa","medicine university south carolina, charleston, sc 29425 usa",5564,medicine university
409,"brookhaven national laboratory, department physics, upton, ny 11973 usa","brookhaven natl lab, dept phys, upton, ny 11973 usa","brookhaven national laboratory, department physics, upton, ny 11973 usa",5542,department physics
410,www.bsl.nl/shop/,www.bsl.nl/shop/,www.bsl.nl/shop/,5529,NaN
411,"xijing hospital(fourth military medical university,xijing hospital),xi'an,china","xijing hospital(fourth military medical university,xijing hospital),xi'an,china","xijing hospital(fourth military medical university,xijing hospital),xi'an,china",5484,military medical university
412,"university elect sciences and technology china, state key laboratory elect thin films and integrated devic, chengdu 610054, peoples r china","univ elect sci & technol china, state key lab elect thin films & integrated devic, chengdu 610054, peoples r china","university elect sciences and technology china, state key laboratory elect thin films and integrated devic, chengdu 610054, peoples r china",5469,NaN
413,umea university,umea university,umea university,5468,umea university
414,"shandong university of technology(shandong university of technology,shandong university of technology),zibo,china","shandong university of technology(shandong university of technology,shandong univ of technology),zibo,china","shandong university of technology(shandong university of technology,shandong university of technology),zibo,china",5466,shandong university of technology
415,"yale sch medicine, new haven, ct usa","yale sch med, new haven, ct usa","yale sch medicine, new haven, ct usa",5462,yale sch medicine
416,technische universitat darmstadt,technische universitat darmstadt,technische universitat darmstadt,5455,technische universitat darmstadt
417,these authors contributed equally.,these authors contributed equally.,these authors contributed equally.,5450,NaN
418,"st petersburg state university, st petersburg, russia","st petersburg state univ, st petersburg, russia","st petersburg state university, st petersburg, russia",5441,st petersburg state university
419,"imperial college, london, england","imperial coll, london, england","imperial college, london, england",5427,imperial college
420,"dartmouth hitchcock medicine center, lebanon, nh 03766 usa","dartmouth hitchcock med ctr, lebanon, nh 03766 usa","dartmouth hitchcock medicine center, lebanon, nh 03766 usa",5402,dartmouth hitchcock medicine center
421,"university roma tor vergata, rome, italy","univ roma tor vergata, rome, italy","university roma tor vergata, rome, italy",5402,university roma
422,"university calif san francisco, department medicine, san francisco, ca 94143 usa","univ calif san francisco, dept med, san francisco, ca 94143 usa","university calif san francisco, department medicine, san francisco, ca 94143 usa",5396,university calif
423,"seoul national university, college medicine, seoul, south korea","seoul natl univ, coll med, seoul, south korea","seoul national university, college medicine, seoul, south korea",5388,seoul national university
424,"ut southwestern medicine center, dallas, tx usa","ut southwestern med ctr, dallas, tx usa","ut southwestern medicine center, dallas, tx usa",5372,ut southwestern medicine center
