prev,after
"East China Normal University(East China Normal University),Shanghai,China","east china normal university(east china normal university),shanghai,china"
"Nanjing Medical University(Nanjing Medical University),Nanjing,China","nanjing medical university(nanjing medical university),nanjing,china"
"Univ Sci & Technol Beijing, Sch Mat Sci & Engn, Beijing 100083, Peoples R China","univ sci & technol beijing, sch mat sci & engn, beijing 100083, peoples r china"
"Beijing Univ Posts & Telecommun, State Key Lab Informat Photon & Opt Commun, Beijing 100876, Peoples R China","beijing univ posts & telecommun, state key lab informat photon & opt commun, beijing 100876, peoples r china"
universidade federal do espirito santo,universidade federal do espirito santo
"Southern Medical University(^ Southern Medical University),TongHe,China","southern medical university(^ southern medical university),tonghe,china"
"Univ Calif Los Angeles, Dept Phys & Astron, Los Angeles, CA 90095 USA","univ calif los angeles, dept phys & astron, los angeles, ca 90095 usa"
"Univ N Carolina, Dept Chem, Chapel Hill, NC 27599 USA","univ n carolina, dept chem, chapel hill, nc 27599 usa"
"Penn State Univ, Dept Chem, University Pk, PA 16802 USA","penn state univ, dept chem, university pk, pa 16802 usa"
"Johns Hopkins Univ Hosp, Baltimore, MD 21287 USA","johns hopkins univ hosp, baltimore, md 21287 usa"
air force research laboratory,air force research laboratory
"Third Military Medical University(Third Military Medical University),Chongqing,China","third military medical university(third military medical university),chongqing,china"
"Univ Roma La Sapienza, Rome, Italy","univ roma la sapienza, rome, italy"
"Xi'an University of Architecture and Technology(Xi'an University of Architecture and Technology,Xi'an Univ. of Arch. and Tech.),Xi An,China","xi'an university of architecture and technology(xi'an university of architecture and technology,xi'an univ. of arch. and tech.),xi an,china"
"Institute of Chemistry Chinese Academy of Sciences(Chinese Academy of Sciences,Institute of Chemistry),Beijing,China","institute of chemistry chinese academy of sciences(chinese academy of sciences,institute of chemistry),beijing,china"
"Univ Wisconsin, Dept Chem, Madison, WI 53706 USA","univ wisconsin, dept chem, madison, wi 53706 usa"
"Deutsches Elektronen-Synchrotron,Hamburg,Germany","deutsches elektronen-synchrotron,hamburg,germany"
"Harbin Medical University(Harbin Medical University),Harbin,China","harbin medical university(harbin medical university),harbin,china"
"Shenyang University of Technology(Shenyang University of Technology),Shenyang,China","shenyang university of technology(shenyang university of technology),shenyang,china"
brigham and women s hospital,brigham and women s hospital
"Univ Calif Santa Barbara, Dept Phys, Santa Barbara, CA 93106 USA","univ calif santa barbara, dept phys, santa barbara, ca 93106 usa"
"Argonne Natl Lab, Argonne, IL 60439 USA","argonne natl lab, argonne, il 60439 usa"
"Sandia Natl Labs, POB 5800, Albuquerque, NM 87185 USA","sandia natl labs, pob 5800, albuquerque, nm 87185 usa"
"Shanghai Institute of Ceramics Chinese Academy of Sciences(Chinese Academy of Sciences),Shanghai,China","shanghai institute of ceramics chinese academy of sciences(chinese academy of sciences),shanghai,china"
www.bsl.nl,www.bsl.nl
"Roswell Pk Canc Inst, Buffalo, NY 14263 USA","roswell pk canc inst, buffalo, ny 14263 usa"
"Chinese Acad Sci, Inst Plasma Phys, Hefei 230031, Peoples R China","chinese acad sci, inst plasma phys, hefei 230031, peoples r china"
"Univ S Carolina, Columbia, SC 29208 USA","univ s carolina, columbia, sc 29208 usa"
"Huazhong Agricultural University(Huazhong Agricultural University),Wuhan,China","huazhong agricultural university(huazhong agricultural university),wuhan,china"
"China Earthquake Administration(^ China Earthquake Administration),Beijing,China","china earthquake administration(^ china earthquake administration),beijing,china"
"Katholieke Univ Leuven, Leuven, Belgium","katholieke univ leuven, leuven, belgium"
university of concepcion,university of concepcion
"Univ Hlth Network, Toronto, ON, Canada","univ hlth network, toronto, on, canada"
"Xiangya Hospital of Central-south University(Xiangya Hospital,Central South University),Changsha,China","xiangya hospital of central-south university(xiangya hospital,central south university),changsha,china"
"Johns Hopkins Sch Med, Baltimore, MD USA","johns hopkins sch med, baltimore, md usa"
"St Louis Univ, St Louis, MO 63103 USA","st louis univ, st louis, mo 63103 usa"
"Lanzhou University of Technology(Lanzhou University of Technology),Lanzhou,China","lanzhou university of technology(lanzhou university of technology),lanzhou,china"
"Hosp Valle De Hebron, Stroke Unit, Barcelona, Spain","hosp valle de hebron, stroke unit, barcelona, spain"
"Changchun Institute of Applied Chemistry Chinese Academy of Sciences(Chinese Academy of Sciences),Shanghai,China","changchun institute of applied chemistry chinese academy of sciences(chinese academy of sciences),shanghai,china"
"Texas Stroke Inst, Dallas, TX USA","texas stroke inst, dallas, tx usa"
"Hannover Med Sch, Hannover, Germany","hannover med sch, hannover, germany"
"Univ Hosp Cleveland, Cleveland, OH USA","univ hosp cleveland, cleveland, oh usa"
"Hop Gui De Chauliac, Dept Neuroradiol, Montpellier, France","hop gui de chauliac, dept neuroradiol, montpellier, france"
"OhioHealth Riverside Methodist Hosp, Columbus, OH USA","ohiohealth riverside methodist hosp, columbus, oh usa"
"Valley Baptist Med Ctr, Dept Neurosci, Harlingen, TX USA","valley baptist med ctr, dept neurosci, harlingen, tx usa"
"Johns Hopkins Bloomberg Sch Publ Hlth, Baltimore, MD USA","johns hopkins bloomberg sch publ hlth, baltimore, md usa"
"Chinese Acad Sci, Shanghai Inst Appl Phys, Shanghai 201800, Peoples R China","chinese acad sci, shanghai inst appl phys, shanghai 201800, peoples r china"
"Ist Nazl Fis Nucl, Lab Nazl Frascati, I-00044 Frascati, Italy","ist nazl fis nucl, lab nazl frascati, i-00044 frascati, italy"
"Huazhong Univ Sci & Technol, Wuhan Natl Lab Optoelect, Wuhan 430074, Peoples R China","huazhong univ sci & technol, wuhan natl lab optoelect, wuhan 430074, peoples r china"
"Univ Texas Hlth Sci Ctr Houston, Houston, TX 77030 USA","univ texas hlth sci ctr houston, houston, tx 77030 usa"
"University of Wisconsin - Madison,Madison,U.S.A.","university of wisconsin - madison,madison,u.s.a."
"Univ S Florida, Tampa, FL 33620 USA","univ s florida, tampa, fl 33620 usa"
"Univ So Calif, Los Angeles, CA USA","univ so calif, los angeles, ca usa"
"Guangxi University(Guangxi University),Nanning,China","guangxi university(guangxi university),nanning,china"
"Univ S Florida, Tampa, FL USA","univ s florida, tampa, fl usa"
"Hebei Medical University(Hebei Medical University),Shijiazhuang,China","hebei medical university(hebei medical university),shijiazhuang,china"
"Cleveland Clin Fdn, 9500 Euclid Ave, Cleveland, OH 44195 USA","cleveland clin fdn, 9500 euclid ave, cleveland, oh 44195 usa"
"Univ Calif San Diego, Scripps Inst Oceanog, La Jolla, CA 92093 USA","univ calif san diego, scripps inst oceanog, la jolla, ca 92093 usa"
"South China Agricultural University(South China Agricultural University),Guangzhou,China","south china agricultural university(south china agricultural university),guangzhou,china"
"Univ Penn, Dept Chem, Philadelphia, PA 19104 USA","univ penn, dept chem, philadelphia, pa 19104 usa"
"Kings Coll Hosp London, London, England","kings coll hosp london, london, england"
"Univ Calif Santa Barbara, Dept Elect & Comp Engn, Santa Barbara, CA 93106 USA","univ calif santa barbara, dept elect & comp engn, santa barbara, ca 93106 usa"
"South China Normal University(South China Normal University),Guangzhou,China","south china normal university(south china normal university),guangzhou,china"
"N Carolina State Univ, Raleigh, NC 27695 USA","n carolina state univ, raleigh, nc 27695 usa"
"Univ Calif Santa Barbara, Dept Mat, Santa Barbara, CA 93106 USA","univ calif santa barbara, dept mat, santa barbara, ca 93106 usa"
"Beijing Forestry University(Beijing Forestry University),Beijing,China","beijing forestry university(beijing forestry university),beijing,china"
"Univ Calif Berkeley, Dept Elect Engn & Comp Sci, Berkeley, CA 94720 USA","univ calif berkeley, dept elect engn & comp sci, berkeley, ca 94720 usa"
"Univ Estadual Campinas, Campinas, SP, Brazil","univ estadual campinas, campinas, sp, brazil"
"Jiangnan University(Jiangnan University),Wuxi,China","jiangnan university(jiangnan university),wuxi,china"
"Nanjing Normal University(Nanjing Normal University),Nanjing,China","nanjing normal university(nanjing normal university),nanjing,china"
"Vrije Univ Amsterdam, Amsterdam, Netherlands","vrije univ amsterdam, amsterdam, netherlands"
www.zorgenfinanciering.nl,www.zorgenfinanciering.nl
"Southwest China Normal University(Southwest University,Southwest China Normal University,Southwest Normal University),Chongqing,China","southwest china normal university(southwest university,southwest china normal university,southwest normal university),chongqing,china"
"Univ Calif Riverside, Dept Chem, Riverside, CA 92521 USA","univ calif riverside, dept chem, riverside, ca 92521 usa"
"Hosp Clin San Carlos, Madrid, Spain","hosp clin san carlos, madrid, spain"
heriot watt university,heriot watt university
"Georgia Inst Technol, Sch Chem & Biochem, Atlanta, GA 30332 USA","georgia inst technol, sch chem & biochem, atlanta, ga 30332 usa"
Wien,wien
"Huazhong Normal University(Central China Normal University,Huazhong Normal University),Wuhan,China","huazhong normal university(central china normal university,huazhong normal university),wuhan,china"
"Vrije Univ Amsterdam Med Ctr, Amsterdam, Netherlands","vrije univ amsterdam med ctr, amsterdam, netherlands"
"Univ Fed Rio de Janeiro, Rio De Janeiro, Brazil","univ fed rio de janeiro, rio de janeiro, brazil"
"Institut für Physik, Universität Mainz, Mainz, Germany.","institut für physik, universität mainz, mainz, germany."
"Yunnan University(Yunnan University),Kunming,China","yunnan university(yunnan university),kunming,china"
"Univ Cent Florida, Orlando, FL 32816 USA","univ cent florida, orlando, fl 32816 usa"
"Yangzhou University(Yangzhou University),Yangzhou,China","yangzhou university(yangzhou university),yangzhou,china"
"Fred Hutchinson Canc Res Ctr, Seattle, WA 98104 USA","fred hutchinson canc res ctr, seattle, wa 98104 usa"
"New York Med Coll, Valhalla, NY 10595 USA","new york med coll, valhalla, ny 10595 usa"
"Hosp Sick Children, Toronto, ON, Canada","hosp sick children, toronto, on, canada"
"BELL TEL LABS INC,MURRAY HILL,NJ 07974","bell tel labs inc,murray hill,nj 07974"
washington university in st louis,washington university in st louis
"London Sch Hyg & Trop Med, London, England","london sch hyg & trop med, london, england"
"Nanjing University of Post and TeleCommunications(Nanjing University of Posts and Telecommunications),Nanjing,China","nanjing university of post and telecommunications(nanjing university of posts and telecommunications),nanjing,china"
"China Iron and Steel Research Institute Group(Central Iron and Steel Research Institute,Ctrl. Iron and Stl. Res. Institute),Beijing,China","china iron and steel research institute group(central iron and steel research institute,ctrl. iron and stl. res. institute),beijing,china"
"Pontificia Univ Catolica Chile, Santiago, Chile","pontificia univ catolica chile, santiago, chile"
"Chinese Acad Sci, Changchun Inst Appl Chem, State Key Lab Rare Earth Resource Utilizat, Changchun 130022, Peoples R China","chinese acad sci, changchun inst appl chem, state key lab rare earth resource utilizat, changchun 130022, peoples r china"
Dresden University of Technology,dresden university of technology
"Northeast Normal University(Northeast Normal University),Changchun,China","northeast normal university(northeast normal university),changchun,china"
"North University of China(North University of China),Taiyuan,China","north university of china(north university of china),taiyuan,china"
"Univ Calif Santa Barbara, Dept Chem & Biochem, Santa Barbara, CA 93106 USA","univ calif santa barbara, dept chem & biochem, santa barbara, ca 93106 usa"
universite du quebec a montreal,universite du quebec a montreal
"Fakultät für Mathematik und Physik, Albert-Ludwigs-Universität, Freiburg, Germany.","fakultät für mathematik und physik, albert-ludwigs-universität, freiburg, germany."
"Max Planck Inst Astron, D-69117 Heidelberg, Germany","max planck inst astron, d-69117 heidelberg, germany"
"Lawrence Berkeley Natl Lab, Berkeley, CA 94720 USA","lawrence berkeley natl lab, berkeley, ca 94720 usa"
"Univ Calif Berkeley, Lawrence Berkeley Lab, Berkeley, CA 94720 USA","univ calif berkeley, lawrence berkeley lab, berkeley, ca 94720 usa"
"The Fourth Military Medical University(Fourth Military Medical University,The Fourth Military Medical University),Xi'an,China","the fourth military medical university(fourth military medical university,the fourth military medical university),xi'an,china"
"Guangdong University of Technology(Guangdong University of Technology),Guangzhou,China","guangdong university of technology(guangdong university of technology),guangzhou,china"
"School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore","school of electrical and electronic engineering, nanyang technological university, singapore"
"Northeast Forestry University(Northeast Forestry University),Harbin,China","northeast forestry university(northeast forestry university),harbin,china"
"Duke Clin Res Inst, Durham, NC USA","duke clin res inst, durham, nc usa"
"Penn State Univ, Dept Mat Sci & Engn, University Pk, PA 16802 USA","penn state univ, dept mat sci & engn, university pk, pa 16802 usa"
universidad autonoma metropolitana,universidad autonoma metropolitana
"Guys & St Thomas NHS Fdn Trust, London, England","guys & st thomas nhs fdn trust, london, england"
"Hangzhou Dianzi University(Hangzhou Dianzi University,Hangzhou University),Hangzhou,China","hangzhou dianzi university(hangzhou dianzi university,hangzhou university),hangzhou,china"
Both authors contributed equally to this work.,both authors contributed equally to this work.
"Space Telescope Sci Inst, Baltimore, MD 21218 USA","space telescope sci inst, baltimore, md 21218 usa"
"Florida Int Univ, Miami, FL 33199 USA","florida int univ, miami, fl 33199 usa"
"Harvard Med Sch, Boston, MA USA","harvard med sch, boston, ma usa"
"Chinese Acad Sci, Inst Semicond, State Key Lab Integrated Optoelect, Beijing 100083, Peoples R China","chinese acad sci, inst semicond, state key lab integrated optoelect, beijing 100083, peoples r china"
"Stanford Linear Accelerator Center(Stanford University,Stanford Linear Accelerator Center),Menlo Park,United States","stanford linear accelerator center(stanford university,stanford linear accelerator center),menlo park,united states"
"Natl Univ Singapore, Dept Chem, Singapore 117543, Singapore","natl univ singapore, dept chem, singapore 117543, singapore"
"Univ Calif San Diego, Dept Med, La Jolla, CA 92093 USA","univ calif san diego, dept med, la jolla, ca 92093 usa"
"Bucharest Univ Econ Studies, Bucharest, Romania","bucharest univ econ studies, bucharest, romania"
"Budker Inst Nucl Phys, Novosibirsk 630090, Russia","budker inst nucl phys, novosibirsk 630090, russia"
"Fox Chase Canc Ctr, Philadelphia, PA 19111 USA","fox chase canc ctr, philadelphia, pa 19111 usa"
"Moscow MV Lomonosov State Univ, Moscow, Russia","moscow mv lomonosov state univ, moscow, russia"
"Univ Calif Berkeley, Space Sci Lab, Berkeley, CA 94720 USA","univ calif berkeley, space sci lab, berkeley, ca 94720 usa"
"Natl Inst Mat Sci, Tsukuba, Ibaraki 3050047, Japan","natl inst mat sci, tsukuba, ibaraki 3050047, japan"
"Kazan Fed Univ, Kazan, Russia","kazan fed univ, kazan, russia"
"St Jude Childrens Res Hosp, 332 N Lauderdale St, Memphis, TN 38105 USA","st jude childrens res hosp, 332 n lauderdale st, memphis, tn 38105 usa"
"Broad Inst MIT & Harvard, Cambridge, MA 02142 USA","broad inst mit & harvard, cambridge, ma 02142 usa"
"Henan University(Henan University),Kaifeng,China","henan university(henan university),kaifeng,china"
"Univ Fed Santa Catarina, Florianopolis, SC, Brazil","univ fed santa catarina, florianopolis, sc, brazil"
"Anhui Medical University(Anhui Medical University),Hefei,China","anhui medical university(anhui medical university),hefei,china"
"Chinese Acad Sci, Beijing Natl Lab Condensed Matter Phys, Beijing 100190, Peoples R China","chinese acad sci, beijing natl lab condensed matter phys, beijing 100190, peoples r china"
"New York, NY","new york, ny"
"Beijing Inst Technol, Sch Mat Sci & Engn, Beijing 100081, Peoples R China","beijing inst technol, sch mat sci & engn, beijing 100081, peoples r china"
"Med Univ South Carolina, Charleston, SC 29425 USA","med univ south carolina, charleston, sc 29425 usa"
"Brookhaven Natl Lab, Dept Phys, Upton, NY 11973 USA","brookhaven natl lab, dept phys, upton, ny 11973 usa"
www.bsl.nl/shop/,www.bsl.nl/shop/
"Xijing Hospital(Fourth Military Medical University,Xijing Hospital),Xi'an,China","xijing hospital(fourth military medical university,xijing hospital),xi'an,china"
"Univ Elect Sci & Technol China, State Key Lab Elect Thin Films & Integrated Devic, Chengdu 610054, Peoples R China","univ elect sci & technol china, state key lab elect thin films & integrated devic, chengdu 610054, peoples r china"
umea university,umea university
"Shandong University of Technology(Shandong University of Technology,Shandong Univ of Technology),Zibo,China","shandong university of technology(shandong university of technology,shandong univ of technology),zibo,china"
"Yale Sch Med, New Haven, CT USA","yale sch med, new haven, ct usa"
technische universitat darmstadt,technische universitat darmstadt
These authors contributed equally.,these authors contributed equally.
"St Petersburg State Univ, St Petersburg, Russia","st petersburg state univ, st petersburg, russia"
"Imperial Coll, London, England","imperial coll, london, england"
"Dartmouth Hitchcock Med Ctr, Lebanon, NH 03766 USA","dartmouth hitchcock med ctr, lebanon, nh 03766 usa"
"Univ Roma Tor Vergata, Rome, Italy","univ roma tor vergata, rome, italy"
"Univ Calif San Francisco, Dept Med, San Francisco, CA 94143 USA","univ calif san francisco, dept med, san francisco, ca 94143 usa"
"Seoul Natl Univ, Coll Med, Seoul, South Korea","seoul natl univ, coll med, seoul, south korea"
"UT Southwestern Med Ctr, Dallas, TX USA","ut southwestern med ctr, dallas, tx usa"
"Chinese Acad Sci, Lanzhou Inst Chem Phys, State Key Lab Solid Lubricat, Lanzhou 730000, Peoples R China","chinese acad sci, lanzhou inst chem phys, state key lab solid lubricat, lanzhou 730000, peoples r china"
Microsoft Research,microsoft research
"Max Planck Inst Kernphys, D-69117 Heidelberg, Germany","max planck inst kernphys, d-69117 heidelberg, germany"
"Univ Texas MD Anderson Canc Ctr, Dept Radiat Oncol, Houston, TX 77030 USA","univ texas md anderson canc ctr, dept radiat oncol, houston, tx 77030 usa"
"Henan University of Science and Technology(Henan University of Science and Technology),Luoyang,China","henan university of science and technology(henan university of science and technology),luoyang,china"
czechoslovak academy of sciences,czechoslovak academy of sciences
"Harbin Inst Technol, Sch Mat Sci & Engn, Harbin 150001, Peoples R China","harbin inst technol, sch mat sci & engn, harbin 150001, peoples r china"
birmingham city university faculty of health,birmingham city university faculty of health
pontificia universidade catolica de minas gerais,pontificia universidade catolica de minas gerais
"Univ Chinese Acad Sci, Beijing 100049, Peoples R China","univ chinese acad sci, beijing 100049, peoples r china"
"Harvard Smithsonian Ctr Astrophys, 60 Garden St, Cambridge, MA 02138 USA","harvard smithsonian ctr astrophys, 60 garden st, cambridge, ma 02138 usa"
russian academy,russian academy
"Northwest A&F University(Northwest A and F University,Northwest Agriculture and Forestry University),Yangling,China","northwest a&f university(northwest a and f university,northwest agriculture and forestry university),yangling,china"
fundacao getulio vargas,fundacao getulio vargas
"Univ So Calif, Los Angeles, CA 90089 USA","univ so calif, los angeles, ca 90089 usa"
"Changchun University of Science and Technology(Changchun University of Science and Technology,Changchun Univ. of Sci. and Technol.),Changchun,China","changchun university of science and technology(changchun university of science and technology,changchun univ. of sci. and technol.),changchun,china"
"Johns Hopkins Med Inst, Baltimore, MD 21205 USA","johns hopkins med inst, baltimore, md 21205 usa"
"Anhui University(Anhui University),Hefei,China","anhui university(anhui university),hefei,china"
"Hubei University(Hubei University,Hubei University of Technology),Wuhan,China","hubei university(hubei university,hubei university of technology),wuhan,china"
"Natl Univ Singapore, Singapore, Singapore","natl univ singapore, singapore, singapore"
"Georgia Inst Technol, Sch Chem & Biomol Engn, Atlanta, GA 30332 USA","georgia inst technol, sch chem & biomol engn, atlanta, ga 30332 usa"
"Chinese Academy of Forestry(CAF,Chinese Academy of Forestry),Beijing,China","chinese academy of forestry(caf,chinese academy of forestry),beijing,china"
universite de sherbrooke,universite de sherbrooke
science college,science college
"Univ London Imperial Coll Sci Technol & Med, London SW7 2AZ, England","univ london imperial coll sci technol & med, london sw7 2az, england"
"MV LOMONOSOV STATE UNIV,MOSCOW,USSR","mv lomonosov state univ,moscow,ussr"
"Deutsches Elektronen-Synchrotron, Hamburg, Germany","deutsches elektronen-synchrotron, hamburg, germany"
"Univ Calif San Francisco, Dept Neurol, San Francisco, CA USA","univ calif san francisco, dept neurol, san francisco, ca usa"
institute for materials research,institute for materials research
"Academy of Military Medical Science China(Academy of Military Medical Sciences,Academy of Military Medical Science),Beijing,China","academy of military medical science china(academy of military medical sciences,academy of military medical science),beijing,china"
panjab university chandigarh,panjab university chandigarh
"China Univ Petr, State Key Lab Heavy Oil Proc, Beijing 102249, Peoples R China","china univ petr, state key lab heavy oil proc, beijing 102249, peoples r china"
national technical university,national technical university
"Oak Ridge Natl Lab, Ctr Nanophase Mat Sci, Oak Ridge, TN 37831 USA","oak ridge natl lab, ctr nanophase mat sci, oak ridge, tn 37831 usa"
"Shanghai Institute of Microsystem and Information Technology Chinese Academy of Sciences(Chinese Academy of Sciences ^),Shanghai,China","shanghai institute of microsystem and information technology chinese academy of sciences(chinese academy of sciences ^),shanghai,china"
"Suny Downstate Med Ctr, Brooklyn, NY 11203 USA","suny downstate med ctr, brooklyn, ny 11203 usa"
oregon health science university,oregon health science university
"Chinese Acad Sci, Beijing Natl Lab Condensed Matter Phys, Inst Phys, Beijing 100190, Peoples R China","chinese acad sci, beijing natl lab condensed matter phys, inst phys, beijing 100190, peoples r china"
"Nikhef Natl Inst Subat Phys, Amsterdam, Netherlands","nikhef natl inst subat phys, amsterdam, netherlands"
"Univ Fed Vicosa, Vicosa, MG, Brazil","univ fed vicosa, vicosa, mg, brazil"
faculty of chemistry,faculty of chemistry
"Ecole Polytech Fed Lausanne, Lausanne, Switzerland","ecole polytech fed lausanne, lausanne, switzerland"
"Univ Autonoma Madrid, Madrid, Spain","univ autonoma madrid, madrid, spain"
"Univ Calif Los Angeles, Dept Elect Engn, Los Angeles, CA 90095 USA","univ calif los angeles, dept elect engn, los angeles, ca 90095 usa"
"Henan Polytechnic University(Henan Polytechnic University ^),Jiaozuo,China","henan polytechnic university(henan polytechnic university ^),jiaozuo,china"
"Qingdao University of Science and Technology(Qingdao University of Science and Technology),Qingdao,China","qingdao university of science and technology(qingdao university of science and technology),qingdao,china"
"Beijing Institute of Aeronautical Materials(Beijing Institute of Aeronautical Materials,Inst of Aeronautical Materials,Beijing Inst of Aeronautical,Institute of Aeronautical Materials),Beijing,China","beijing institute of aeronautical materials(beijing institute of aeronautical materials,inst of aeronautical materials,beijing inst of aeronautical,institute of aeronautical materials),beijing,china"
"IBM CORP,THOMAS J WATSON RES CTR,YORKTOWN HTS,NY 10598","ibm corp,thomas j watson res ctr,yorktown hts,ny 10598"
"Univ Calif Irvine, Irvine, CA 92697 USA","univ calif irvine, irvine, ca 92697 usa"
"XiangTan University(Xiangtan University),Xiangtan,China","xiangtan university(xiangtan university),xiangtan,china"
"Univ Calif San Diego, Dept Phys, La Jolla, CA 92093 USA","univ calif san diego, dept phys, la jolla, ca 92093 usa"
München,münchen
"Peking University Health Science Center(^ Peking University Health Science Center),Beijing,China","peking university health science center(^ peking university health science center),beijing,china"
"Hosp Santa Creu & Sant Pau, Barcelona, Spain","hosp santa creu & sant pau, barcelona, spain"
harvard smithsonian center for astrophysics,harvard smithsonian center for astrophysics
"Natl Jewish Hlth, Denver, CO USA","natl jewish hlth, denver, co usa"
"Anhui Institute of Optics and Fine Mechanics(Chinese Academy of Sciences,Chinese Acad. of Sci.),Hefei,China","anhui institute of optics and fine mechanics(chinese academy of sciences,chinese acad. of sci.),hefei,china"
"Univ Nebraska, Lincoln, NE USA","univ nebraska, lincoln, ne usa"
"Chinese Acad Sci, Shanghai Inst Opt & Fine Mech, State Key Lab High Field Laser Phys, Shanghai 201800, Peoples R China","chinese acad sci, shanghai inst opt & fine mech, state key lab high field laser phys, shanghai 201800, peoples r china"
"Inst Gustave Roussy, Villejuif, France","inst gustave roussy, villejuif, france"
"Qingdao University(Qingdao University),Qingdao,China","qingdao university(qingdao university),qingdao,china"
"Fred Hutchinson Canc Res Ctr, 1124 Columbia St, Seattle, WA 98104 USA","fred hutchinson canc res ctr, 1124 columbia st, seattle, wa 98104 usa"
"St Jude Childrens Res Hosp, Memphis, TN 38105 USA","st jude childrens res hosp, memphis, tn 38105 usa"
"Max Planck Inst Astron, Konigstuhl 17, D-69117 Heidelberg, Germany","max planck inst astron, konigstuhl 17, d-69117 heidelberg, germany"
"Institute of Geology and Geophysics Chinese Academy of Sciences(Chinese Academy of Sciences),Beijing,China","institute of geology and geophysics chinese academy of sciences(chinese academy of sciences),beijing,china"
"Univ Fed Ceara, Fortaleza, Ceara, Brazil","univ fed ceara, fortaleza, ceara, brazil"
"Australian Natl Univ, Canberra, ACT, Australia","australian natl univ, canberra, act, australia"
"Vrije Univ Amsterdam, Med Ctr, Amsterdam, Netherlands","vrije univ amsterdam, med ctr, amsterdam, netherlands"
"Beijing Inst Technol, State Key Lab Explos Sci & Technol, Beijing 100081, Peoples R China","beijing inst technol, state key lab explos sci & technol, beijing 100081, peoples r china"
"Physikalisches Institut, Ruprecht-Karls-Universität Heidelberg, Heidelberg, Germany.","physikalisches institut, ruprecht-karls-universität heidelberg, heidelberg, germany."
"Mt Sinai Med Ctr, New York, NY 10029 USA","mt sinai med ctr, new york, ny 10029 usa"
"Delft Univ Technol, Delft, Netherlands","delft univ technol, delft, netherlands"
"Max Planck Inst Phys & Astrophys, D-80805 Munich, Germany","max planck inst phys & astrophys, d-80805 munich, germany"
"Tech Univ Munich, Munich, Germany","tech univ munich, munich, germany"
"Med Univ Graz, Graz, Austria","med univ graz, graz, austria"
